销售价格,卧室数,浴室数,居住面积,土地面积,楼层数,视野,成色,建筑设计水平,建筑年份,纬度,经度,附近15间房屋平均居住面积,附近15间房屋平均土地面积,每间卧室平均浴室数,有无地下室,距最近优质啤酒厂的距离,距医院的交通距离,销售年份,销售季度,是否位于西雅图,最近一次翻新距今年份,是否邻近海岸
395000,2,1,770,6000,1,0,3,6,1953,47.6999,-122.364,1710,6000,2,无,2.42,0.167448753,2015,Q2,是,62,否
445000,4,1.75,2100,4400,1.5,0,5,7,1924,47.5299,-122.266,1850,4400,2.285714286,有,6.26,0.291630104,2014,Q4,是,90,是
445000,3,2.25,2100,8201,1,2,3,8,1967,47.5091,-122.244,2660,8712,1.333333333,有,8,0.356824857,2014,Q3,是,47,是
260000,4,2.25,2160,8811,1,0,3,8,1978,47.3129,-122.39,2090,8400,1.777777778,有,20.74,0.508931224,2014,Q3,否,36,否
822500,5,3.5,2320,4960,2,0,5,7,1926,47.6763,-122.352,1700,4960,1.428571429,有,1.24,0.106581549,2014,Q2,是,88,否
430000,4,2.5,2070,4310,2,0,3,7,2004,47.5319,-121.85,1970,3748,1.6,无,22.68,0.418648795,2015,Q2,否,11,否
212000,3,1.75,1060,7875,1,0,4,7,1986,47.2761,-122.152,1420,7680,1.714285714,无,24.56,0.503535928,2015,Q1,否,29,否
660500,4,2.25,2010,9603,1,0,3,8,1986,47.5343,-122.054,2060,9793,1.777777778,有,13.58,0.415300639,2015,Q2,否,29,否
453246,3,2.5,2010,2287,2,0,3,8,2014,47.5517,-121.998,1690,1662,1.2,有,15.64,0.415300639,2014,Q2,否,0,否
675000,4,3.5,2140,2278,3,0,3,9,2005,47.6734,-122.38,1540,2285,1.142857143,无,0.64,0.142523603,2015,Q1,是,10,否
220000,4,1.75,2020,7840,1,0,3,7,1968,47.3309,-122.299,1750,8140,2.285714286,有,19.49,0.501579779,2014,Q3,否,46,否
382500,2,1,1190,4440,1,0,3,6,1981,47.7135,-122.287,1060,5715,2,无,5.19,0.163064368,2014,Q3,是,33,否
519950,3,2.25,1170,1249,3,0,3,8,2014,47.6722,-122.381,1350,1310,1.333333333,无,0.59,0.142478577,2014,Q2,是,0,否
665000,2,1,1110,3200,1,0,3,7,1925,47.6338,-122.358,1170,3600,2,无,0.8,0.12020255,2014,Q2,是,89,否
527700,5,2.5,2820,9375,1,0,4,8,1968,47.5707,-122.128,2820,9375,2,有,9.44,0.240961112,2014,Q3,否,46,否
205000,3,1,1610,8579,1,0,4,7,1962,47.4563,-122.171,1610,8579,3,有,12.87,0.437399093,2015,Q2,否,53,否
420000,3,1,1060,8097,1,0,4,7,1923,47.7144,-122.351,1560,7940,3,有,3.54,0.179879354,2015,Q2,是,92,否
500000,4,2.25,2030,8517,1,0,4,8,1961,47.5495,-122.174,2230,8824,1.777777778,有,8.11,0.393844328,2015,Q1,否,54,否
890000,4,1,2550,4000,2,0,3,8,1905,47.6354,-122.353,2200,4000,4,有,1.03,0.109858953,2014,Q2,是,109,否
511000,3,1,1430,3455,1,0,3,7,1947,47.6873,-122.336,1450,4599,3,有,2.3,0.104446241,2014,Q4,是,67,是
532170,3,2,1360,3090,2,0,3,8,1990,47.6838,-122.353,1500,3090,1.5,无,1.58,0.125621199,2014,Q3,是,24,否
560000,3,1,1110,5000,1.5,0,3,7,1947,47.655,-122.359,1420,5000,3,无,0.79,0.085467355,2015,Q2,是,68,是
282950,3,1,1250,8200,1,0,4,7,1954,47.3255,-122.304,1680,8633,3,无,19.86,0.501579779,2015,Q1,否,61,否
350000,1,1,700,5100,1,0,3,7,1942,47.679,-122.3,1010,5100,1,无,2.92,0.07049449,2014,Q2,是,72,否
215000,3,1,1180,7669,1,0,4,7,1967,47.4479,-122.176,1190,7669,3,无,13.24,0.437399093,2014,Q3,否,47,否
320000,4,2.75,2640,7500,1,0,3,8,1967,47.3135,-122.369,1980,7875,1.454545455,有,20.62,0.507470721,2014,Q3,否,47,否
247000,3,2,1270,7198,1.5,0,3,7,1916,47.2086,-121.996,1160,7198,1.5,无,31.79,0.503535928,2014,Q4,否,1,否
255000,5,2.25,2060,8632,1,0,3,7,1962,47.4877,-122.335,1010,11680,2.222222222,有,8.57,0.401843275,2014,Q2,是,52,否
438000,3,1.75,1780,9660,1,0,3,7,1962,47.7171,-122.193,1200,9660,1.714285714,无,8.48,0.128667689,2015,Q1,否,53,否
441000,3,2.75,1910,7280,1,0,3,7,1979,47.7319,-122.224,1710,8152,1.090909091,有,8.01,0.275708061,2014,Q2,否,35,否
370000,3,1.75,1580,7000,1,0,3,7,1976,47.7209,-122.168,1640,7500,1.714285714,有,9.61,0.128667689,2014,Q4,否,38,否
269950,2,1.75,1340,7250,1,0,5,5,1949,47.408,-122.327,1830,9750,1.142857143,有,14.09,0.498346866,2015,Q1,是,66,否
807100,4,2.5,2680,4499,2,0,3,9,1999,47.565,-122.125,2920,4500,1.6,无,9.7,0.240961112,2015,Q1,否,16,否
653000,3,2.5,2680,9750,1,0,4,8,1979,47.7028,-122.231,2480,8750,1.2,有,6.46,0.128667689,2014,Q2,否,35,否
371500,3,2,1370,8336,1,0,5,7,1964,47.7458,-122.331,1770,7288,1.5,无,5.89,0.232584581,2014,Q2,是,50,否
272000,3,1.75,2160,7140,1,0,4,7,1978,47.3026,-122.374,1930,7350,1.714285714,有,21.39,0.507470721,2015,Q1,否,37,否
313000,3,1.5,1340,7912,1.5,0,3,7,1955,47.7658,-122.339,1480,7940,2,无,7.12,0.283344792,2014,Q2,是,59,否
673000,4,2.25,2590,8190,2,0,4,8,1980,47.5619,-122.125,2260,8335,1.777777778,无,9.78,0.240961112,2014,Q3,否,34,否
425000,3,2.5,1120,1100,2,0,3,8,2008,47.6106,-122.31,1590,1795,1.2,有,0.5,0.099807939,2015,Q1,是,7,否
399950,5,2.75,1970,5400,1,0,3,7,1986,47.5868,-122.308,1280,2150,1.818181818,有,1.88,0.154882608,2014,Q3,是,28,否
385000,3,1,1220,4800,1,0,3,6,1901,47.6101,-122.307,1200,4800,3,无,0.65,0.097172163,2014,Q2,是,113,否
269950,3,1.5,1950,7560,1,2,4,7,1975,47.1976,-121.999,1950,8941,2,有,32.4,0.503535928,2014,Q4,否,39,否
330000,2,1,1350,8220,1,0,3,7,1949,47.7224,-122.358,1540,8280,2,有,4,0.208302993,2015,Q1,是,66,否
260000,3,2.5,1670,5797,2,0,3,7,1988,47.3505,-122.179,1670,6183,1.2,无,19.29,0.503535928,2014,Q3,否,26,否
470000,4,3,2380,5125,1.5,0,4,7,1925,47.5384,-122.376,1410,5375,1.333333333,有,5.26,0.330563861,2015,Q2,是,90,否
589000,4,3,2440,9600,2,0,5,7,1961,47.7044,-122.2,2290,9600,1.333333333,无,7.74,0.128667689,2014,Q2,否,53,否
163500,2,1.5,1050,3419,2,0,3,7,1996,47.3848,-122.039,1050,3417,1.333333333,无,20.53,0.437399093,2014,Q3,否,18,否
560000,3,2.5,1900,8744,2,0,3,8,1987,47.62,-122.043,2030,8744,1.2,无,12.96,0.13224325,2014,Q2,否,27,否
615000,4,1,1330,2400,1.5,0,4,6,1901,47.65,-122.34,1330,4400,4,无,0.21,0.056886282,2015,Q2,是,114,是
305000,3,1.75,1650,9480,1,0,3,7,1977,47.726,-122.191,1540,8400,1.714285714,有,8.91,0.128667689,2014,Q3,否,37,否
166950,3,1,1190,8820,1,0,3,6,1959,47.4616,-122.184,1230,7980,3,无,12.23,0.437399093,2014,Q4,否,55,否
799000,3,2.5,2140,9897,1,0,4,8,1959,47.5505,-122.219,2680,10083,1.2,无,6.39,0.289317817,2014,Q3,否,55,否
400000,3,2.5,2180,7508,1,0,4,7,1962,47.7606,-122.336,1900,7818,1.2,有,6.8,0.271742236,2014,Q2,是,52,否
256883,3,2.5,1690,5025,2,0,3,8,2003,47.2779,-122.347,2550,5001,1.2,无,23.05,0.511431829,2014,Q2,否,11,否
423000,4,2,1970,6480,1.5,0,5,7,1920,47.5511,-122.312,1500,6480,2,有,4.27,0.240565111,2014,Q4,是,94,否
465000,3,2.5,2150,4084,2,0,3,8,2007,47.5488,-122.372,1750,2385,1.2,无,4.52,0.304751961,2014,Q3,是,7,否
470000,3,1,1010,5000,1,0,3,7,1952,47.675,-122.394,1680,5000,3,无,1.01,0.164011413,2014,Q3,是,62,否
226500,3,1.5,1300,7370,1,0,4,7,1976,47.3025,-122.37,1430,7500,2,有,21.39,0.507470721,2014,Q3,否,38,否
274250,3,1,910,8450,1,0,4,6,1962,47.4787,-122.158,1400,8040,3,无,11.97,0.437399093,2015,Q1,否,53,否
677900,3,2.5,2440,4587,2,0,3,8,2010,47.7073,-122.114,2750,4587,1.2,无,11.48,0.13224325,2014,Q3,否,4,否
425000,3,1,1010,5864,1,0,3,7,1915,47.5733,-122.381,1290,5000,3,无,3.13,0.273411661,2015,Q1,是,100,否
180250,2,0.75,900,9600,1,0,3,6,1941,47.4604,-122.339,1250,14280,2.666666667,无,10.45,0.45671618,2014,Q4,是,73,否
464000,6,3,2300,3404,2,0,3,7,1920,47.7067,-122.343,1560,1312,2,有,3.18,0.155072412,2014,Q3,是,20,否
320000,4,2.25,1550,7579,2,0,3,8,1993,47.354,-122.047,1630,6397,1.777777778,无,21.98,0.437399093,2015,Q2,否,22,否
625504,3,2.25,1270,1566,2,0,3,8,2014,47.6647,-122.284,1160,1327,1.333333333,有,3.02,0.057099837,2014,Q3,是,0,否
477000,4,2.75,1720,6270,2,0,3,8,1978,47.5458,-122.268,2130,8700,1.454545455,无,5.23,0.260293787,2014,Q2,是,36,否
445838,3,2.5,2250,5692,2,0,3,8,2000,47.5133,-122.379,1320,5390,1.2,无,6.97,0.390300105,2014,Q3,是,14,否
686000,4,2.5,2760,6440,2,0,3,10,1999,47.5836,-122.026,3070,8127,1.6,无,13.9,0.240961112,2014,Q3,否,15,否
279950,3,2,1750,9750,1,0,3,7,1961,47.398,-122.299,1900,10125,1.5,有,14.87,0.532821775,2014,Q2,是,53,否
328000,3,2.25,2020,8379,2,0,3,7,1994,47.3828,-122.023,2020,8031,1.333333333,无,21.12,0.437399093,2014,Q3,否,20,否
390000,3,2.25,1250,7500,1,0,5,7,1942,47.5123,-122.373,1280,7392,1.333333333,无,6.98,0.388905442,2014,Q2,是,72,否
479950,2,2,1510,6516,1,0,3,8,2005,47.7076,-122.013,1640,6009,1,无,15.77,0.13224325,2015,Q1,否,10,否
264950,4,2.25,1720,9753,1,0,4,7,1978,47.2922,-122.371,1510,9753,1.777777778,有,22.1,0.507470721,2014,Q2,否,36,否
516500,3,2.5,1480,4729,2,0,3,7,2004,47.6794,-122.034,2250,4729,1.2,无,14.14,0.13224325,2015,Q1,否,11,否
315000,6,2.75,2940,7350,1,0,3,8,1978,47.3103,-122.339,2120,8236,2.181818182,有,20.82,0.511431829,2014,Q4,否,36,否
475000,3,1.5,2480,5280,1.5,0,5,7,1947,47.5575,-122.303,2090,4800,2,有,3.9,0.221342097,2014,Q3,是,67,否
410000,4,1,1970,4740,1.5,0,3,7,1904,47.6136,-122.303,1510,4740,4,有,0.81,0.086246356,2015,Q1,是,10,否
225000,3,1.75,1430,8505,1,0,4,7,1968,47.3173,-122.319,1190,8640,1.714285714,无,20.37,0.498346866,2014,Q4,否,46,否
210000,2,1,830,6000,1,0,3,6,1940,47.5308,-122.376,830,4960,2,无,5.76,0.347466367,2014,Q4,是,74,否
455000,2,1,1430,5000,1.5,0,2,7,1925,47.6727,-122.299,1450,3750,2,无,2.67,0.057490373,2015,Q1,是,90,否
225000,3,1,1300,8316,1,0,4,6,1954,47.3221,-122.216,1260,8316,3,无,20.66,0.503535928,2015,Q2,否,61,否
480000,2,1,1030,3060,1,2,4,7,1918,47.6779,-122.353,1390,3060,2,有,1.28,0.111757066,2014,Q3,是,96,否
181000,2,1.5,720,5120,1,0,3,6,1954,47.5218,-122.357,1150,2566,1.333333333,无,6.23,0.349909962,2015,Q1,是,61,否
250000,4,2,2010,7312,1,0,4,7,1976,47.2785,-122.213,2010,7650,2,无,23.63,0.503535928,2015,Q1,否,39,否
481000,3,1.75,1560,3000,1,0,4,6,1918,47.6846,-122.345,1390,3000,1.714285714,有,1.87,0.113741144,2015,Q2,是,97,否
260000,3,2,1810,7209,1,0,4,7,1978,47.3656,-122.278,1750,7209,1.5,有,17.19,0.501579779,2014,Q3,否,36,否
455000,4,2.5,3360,7685,2,0,3,9,2001,47.4369,-122.111,3060,6567,1.6,无,15.6,0.437399093,2014,Q2,否,13,否
349500,3,1,1400,3538,1,0,3,7,1953,47.5405,-122.27,1620,6331,3,有,5.52,0.264886682,2015,Q2,是,62,否
245000,3,2.5,1730,7442,2,0,3,7,1987,47.3507,-122.178,1630,6458,1.2,无,19.29,0.503535928,2014,Q3,否,27,否
592500,2,2,1420,9191,1.5,2,5,7,1928,47.6979,-122.32,1420,6816,1,无,3.35,0.116706741,2014,Q2,是,86,否
385000,4,1.75,2360,7620,1,0,4,7,1955,47.5278,-122.345,1910,7620,2.285714286,有,5.79,0.324830702,2014,Q4,是,59,否
693000,4,2.5,2460,4425,2,0,3,8,2006,47.7048,-122.109,2990,5659,1.6,无,11.64,0.13224325,2014,Q3,否,8,否
780000,3,1,1660,4400,1.5,0,3,8,1911,47.6362,-122.302,1660,4400,3,有,1.83,0.035111818,2014,Q4,是,103,否
237000,3,1.75,1270,8470,1,0,4,7,1960,47.4207,-122.29,1600,8470,1.714285714,无,13.34,0.532821775,2014,Q4,是,54,否
425000,2,1,770,5040,1,0,3,5,1930,47.5964,-122.299,1330,2580,2,无,1.5,0.128834605,2015,Q2,是,85,否
290000,4,2.5,1700,7280,2,0,4,7,1988,47.4045,-122.171,1950,7475,1.6,无,15.99,0.503535928,2014,Q2,否,26,否
415000,2,1,1070,4500,1,0,3,7,1937,47.6802,-122.29,1320,4465,2,无,3.32,0.082974699,2014,Q3,是,77,否
272500,3,2.5,2070,9900,1,0,3,8,1979,47.2988,-122.371,2070,8250,1.2,有,21.64,0.507470721,2015,Q2,否,36,否
436000,2,1,1040,7538,1,0,4,7,1939,47.7107,-122.352,1440,7530,2,无,3.28,0.173322766,2015,Q2,是,76,否
236000,3,1,1300,5898,1,0,3,7,1961,47.5053,-122.255,1320,7619,3,无,8.02,0.352338568,2014,Q3,是,53,否
331000,3,1.75,1080,1306,1,0,3,7,1954,47.6601,-122.4,1440,2225,1.714285714,有,0.45,0.169032903,2014,Q4,是,11,否
365000,3,2.5,2653,4510,2,0,3,8,2006,47.4145,-122.166,2653,4927,1.2,无,15.48,0.437399093,2015,Q1,否,9,否
405000,3,1.75,2390,6000,1,0,3,6,1908,47.5362,-122.268,2020,6000,1.714285714,有,5.82,0.276832378,2015,Q2,是,107,是
170000,2,1,860,5265,1,0,3,6,1931,47.5048,-122.272,1650,8775,2,无,7.79,0.342627298,2015,Q1,是,84,否
780000,4,2.5,3500,7048,2,0,3,9,2005,47.6811,-122.025,3920,7864,1.6,无,14.57,0.13224325,2014,Q2,否,9,否
