销售日期,销售价格,卧室数,浴室数,居住面积,土地面积,楼层数,是否海景房,视野,成色,建筑设计水平,地上建筑面积,地下建筑面积,建筑年份,翻新年份,邮编,纬度,经度,附近15间房屋平均居住面积,附近15间房屋平均土地面积,每间卧室平均浴室数,有无地下室,距最近优质啤酒厂的距离,距海岸线的最近距离,距医院的交通距离
1/24/2015,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000,1.3333333333333333,1.0,3.11,0.8335666820000001,0.267484281
5/29/2014,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1916,0.0,98103,47.6648,-122.34299999999999,1610,4300,4.0,0.0,1.08,0.478459319,0.076287718
12/5/2014,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1921,0.0,98002,47.3089,-122.21,1060,5095,2.0,0.0,21.62,6.048751846,0.503535928
4/24/2015,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850,3.0,0.0,19.25,1.319252973,0.501579779
5/14/2014,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980,2.2857142857142856,1.0,2.97,1.225484223,0.144350271
7/3/2014,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005,2.0,0.0,21.0,7.44249456,0.503535928
5/16/2014,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,0.0,1985,0.0,98030,47.3533,-122.166,1220,8386,1.3333333333333333,0.0,19.32,10.40224762,0.503535928
11/20/2014,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,1985,0.0,98030,47.3739,-122.17200000000001,2200,6865,1.3333333333333333,0.0,17.9,8.951632217,0.503535928
11/3/2014,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1941,0.0,98002,47.3048,-122.21799999999999,1030,4705,1.5,0.0,21.81,5.855363889,0.503535928
6/26/2014,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,1750,700.0,1915,0.0,98119,47.6386,-122.36,1760,3573,1.7142857142857142,1.0,0.87,0.793475438,0.110788356
12/1/2014,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1400,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861,3.0,0.0,0.71,0.905926301,0.084979632
6/24/2014,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,790,730.0,1948,0.0,98115,47.695,-122.304,1520,6235,1.7142857142857142,1.0,3.68,1.490950361,0.107818285
3/2/2015,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,2570,0.0,2005,0.0,98052,47.7073,-122.11,2630,6026,1.6,0.0,11.65,3.456693306,0.13224325
11/10/2014,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,2320,0.0,2003,0.0,98027,47.5391,-122.07,2580,3980,1.2,0.0,12.76,1.131302876,0.415300639
12/1/2014,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,1190,0.0,2005,0.0,98133,47.7274,-122.35700000000001,1390,1756,1.3333333333333333,0.0,4.35,0.7532110479999999,0.21981186100000005
6/24/2014,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,1510,820.0,1929,0.0,98117,47.6823,-122.368,1460,5000,2.2857142857142856,1.0,1.19,1.512458273,0.144271557
11/10/2014,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,1090,0.0,1929,0.0,98117,47.6889,-122.375,1570,5080,3.0,0.0,1.62,1.197249725,0.16160444599999998
12/3/2014,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1280,780.0,1981,0.0,98058,47.4276,-122.15700000000001,2020,8720,1.4545454545454546,1.0,14.9,5.739757628,0.437399093
6/13/2014,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,1510,790.0,1930,2002.0,98115,47.6827,-122.31,1590,3264,1.2,1.0,2.82,0.896973073,0.077903069
12/30/2014,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,2360,0.0,1904,0.0,98107,47.6702,-122.36200000000001,1730,4700,2.0,0.0,0.62,0.833917041,0.110077399
2/13/2015,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,890,330.0,1969,0.0,98001,47.3341,-122.28200000000001,1290,7800,4.0,1.0,19.33,2.245821288,0.501579779
6/20/2014,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,2620,0.0,1996,0.0,98056,47.5301,-122.18,2620,11884,1.6,0.0,8.69,0.946763073,0.393844328
7/15/2014,625000.0,4,2.5,2570,5520,2.0,0.0,0.0,3,9,2570,0.0,2000,0.0,98074,47.6145,-122.027,2470,5669,1.6,0.0,13.7,1.939937194,0.13224325
7/7/2014,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,3595,0.0,2014,0.0,98053,47.6848,-122.016,3625,5639,1.8181818181818181,0.0,15.05,4.340069261,0.13224325
10/28/2014,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,1570,0.0,1922,0.0,98119,47.6413,-122.36399999999999,1580,2640,3.0,0.0,0.88,0.7681074990000001,0.111862481
7/29/2014,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808,3.0,1.0,13.23,4.0866951060000005,0.437399093
3/25/2015,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,990,0.0,1966,0.0,98023,47.3066,-122.37100000000001,1228,8840,3.0,0.0,21.11,1.460205155,0.507470721
4/28/2015,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,1250,0.0,1953,0.0,98115,47.6796,-122.301,970,5100,1.7142857142857142,0.0,2.92,1.779396833,0.070002958
9/16/2014,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1190,0.0,1955,0.0,98148,47.4258,-122.322,1190,9364,3.0,0.0,12.88,1.338591353,0.498346866
2/17/2015,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1640,1510.0,1966,0.0,98056,47.4934,-122.189,1990,9133,2.0,1.0,10.28,1.011900353,0.418648795
12/31/2014,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,4,7,1000,410.0,1950,0.0,98117,47.6808,-122.384,1410,4080,1.7142857142857142,1.0,1.18,0.963954288,0.16441763
2/5/2015,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,990,990.0,1981,0.0,98117,47.6989,-122.369,1480,6738,1.1428571428571428,1.0,2.32,0.8487091859999999,0.17257921
3/3/2015,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,2130,600.0,1927,0.0,98105,47.6571,-122.281,2730,6000,2.2222222222222223,1.0,3.01,0.220344008,0.059199097
5/12/2014,885000.0,4,2.5,2830,5000,2.0,0.0,0.0,3,9,2830,0.0,1995,0.0,98105,47.6597,-122.29,1950,5000,1.6,0.0,2.64,0.207049248,0.048304986
8/19/2014,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,2250,0.0,2008,0.0,98042,47.3663,-122.11399999999999,2250,4500,1.6,0.0,19.57,10.42475574,0.503535928
4/7/2015,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2420,0.0,2003,0.0,98042,47.3663,-122.12200000000001,2690,4750,1.2,0.0,19.39,10.28157115,0.503535928
2/23/2015,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1850,0.0,1991,0.0,98059,47.5059,-122.149,2270,8542,1.3333333333333333,0.0,10.89,2.479498121,0.418648795
8/28/2014,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1260,0.0,1954,0.0,98148,47.4366,-122.335,1290,8750,1.7142857142857142,0.0,12.1,0.869667587,0.497042623
10/21/2014,505000.0,3,1.75,2519,8690,2.0,0.0,0.0,5,8,2519,0.0,1973,0.0,98166,47.4428,-122.344,2500,9500,1.7142857142857142,0.0,11.66,0.471475837,0.505706796
12/7/2014,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,1540,0.0,2014,0.0,98115,47.6765,-122.32,1580,3090,1.7142857142857142,0.0,2.2,0.489561628,0.068125596
6/3/2014,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1110,550.0,1979,0.0,98122,47.6113,-122.29700000000001,1440,4080,1.3333333333333333,1.0,1.09,0.697590816,0.095896886
11/20/2014,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1770,1000.0,1925,0.0,98144,47.5747,-122.304,1440,4000,1.0909090909090908,1.0,2.73,0.959967691,0.174763821
10/9/2014,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2240,0.0,2005,0.0,98001,47.3378,-122.257,2221,4557,1.6,0.0,19.22,3.243522089,0.501579779
1/5/2015,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1260,0.0,1972,0.0,98034,47.7362,-122.179,1640,4745,1.5,0.0,9.78,2.7720184480000003,0.275708061
6/10/2014,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,2250,500.0,1916,0.0,98125,47.7168,-122.287,1510,7807,2.0,1.0,5.37,0.387800668,0.169424374
7/10/2014,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,2380,0.0,2005,0.0,98038,47.3608,-122.036,2420,5000,1.6,0.0,21.91,13.55049851,0.437399093
10/13/2014,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,880,880.0,1956,0.0,98008,47.6034,-122.125,1680,7500,2.2857142857142856,1.0,9.15,0.6281529020000001,0.240961112
4/20/2015,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,3,7,1040,0.0,1941,0.0,98116,47.5636,-122.39399999999999,890,5060,3.0,0.0,4.02,0.565639352,0.301356953
6/9/2014,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,910,500.0,1956,0.0,98133,47.7073,-122.34,1130,5693,3.0,1.0,3.28,1.550990871,0.153066832
12/2/2014,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2350,0.0,2003,0.0,98038,47.3512,-122.008,2350,5363,1.2,0.0,23.24,14.43223702,0.437399093
12/22/2014,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1900,0.0,1992,0.0,98038,47.349,-122.031,1870,6405,1.6,0.0,22.7,14.39004184,0.437399093
10/28/2014,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1010,1010.0,1948,0.0,98118,47.5474,-122.291,1720,6720,2.0,1.0,4.72,1.673041684,0.24667875600000005
1/28/2015,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1680,0.0,1964,0.0,98059,47.4811,-122.149,1850,8797,2.0,0.0,12.12,2.985346174,0.437399093
6/2/2014,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,960,0.0,1952,0.0,98125,47.7264,-122.31,1570,7203,3.0,0.0,5.14,1.339288438,0.177101727
11/14/2014,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,1900,240.0,1925,0.0,98119,47.6337,-122.365,2020,4800,2.0,1.0,0.49,0.6759876,0.12851971
11/3/2014,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,2660,0.0,1961,0.0,98092,47.2909,-122.189,1590,8165,2.2222222222222223,0.0,23.07,7.5204063739999985,0.503535928
6/18/2014,461000.0,3,3.25,2770,6278,2.0,0.0,0.0,3,9,1980,790.0,2006,0.0,98056,47.5228,-122.199,1900,7349,0.9230769230769232,1.0,8.41,0.41043714,0.393844328
5/19/2014,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,1610,0.0,1979,0.0,98056,47.518,-122.194,1950,2025,0.8888888888888888,0.0,8.81,0.615550948,0.393844328
9/4/2014,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,765,265.0,2006,0.0,98136,47.5394,-122.387,1030,1106,1.1428571428571428,1.0,5.36,0.469818427,0.337219031
5/22/2014,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1980,0.0,1988,0.0,98023,47.2897,-122.37200000000001,1980,7510,1.6,0.0,22.27,1.090376754,0.507470721
3/11/2015,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,3520,0.0,2001,0.0,98199,47.6506,-122.391,2520,6250,1.8181818181818181,0.0,0.69,0.544534295,0.151344232
7/25/2014,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500,2.0,1.0,1.61,1.058071155,0.175624206
12/23/2014,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500,2.0,1.0,1.61,1.058071155,0.175624206
9/12/2014,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1160,0.0,1975,0.0,98023,47.3036,-122.37799999999999,1160,6400,2.6666666666666665,0.0,21.33,1.568568103,0.508931224
10/27/2014,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,4,7,1440,540.0,1929,0.0,98117,47.6775,-122.37200000000001,1610,3478,1.5,1.0,0.84,1.145189119,0.139880173
10/7/2014,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,3,8,2920,0.0,1950,2010.0,98004,47.5814,-122.196,2370,8113,1.2,0.0,6.2,0.181530312,0.240961112
5/23/2014,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,4,7,1170,500.0,1939,0.0,98117,47.6878,-122.38,1240,4005,3.0,1.0,1.58,1.1339492759999998,0.168737573
7/23/2014,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,1240,0.0,1985,0.0,98198,47.3813,-122.322,1270,4966,1.1428571428571428,0.0,15.95,0.192646371,0.498346866
7/25/2014,597750.0,4,2.5,2310,9624,2.0,0.0,0.0,3,8,2310,0.0,1984,0.0,98027,47.5386,-122.053,1940,9636,1.6,0.0,13.5,1.4677259740000002,0.415300639
3/4/2015,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,5,6,700,560.0,1905,0.0,98103,47.6823,-122.34899999999999,1380,3536,1.7142857142857142,1.0,1.63,0.246913057,0.118034354
11/24/2014,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,1080,1000.0,1971,0.0,98108,47.5474,-122.295,2090,5500,1.7142857142857142,1.0,4.66,1.7447930969999998,0.248690617
11/21/2014,740500.0,3,3.5,4380,6350,2.0,0.0,0.0,3,8,2780,0.0,1900,0.0,98117,47.6981,-122.368,1830,6350,0.8571428571428571,0.0,2.27,0.921016554,0.16939083100000002
6/26/2014,518500.0,3,3.5,1590,1102,3.0,0.0,0.0,3,8,1590,0.0,2010,0.0,98103,47.6824,-122.34700000000001,1620,3166,0.8571428571428571,0.0,1.7,0.182393181,0.115030689
6/23/2014,205425.0,2,1.0,880,6780,1.0,0.0,0.0,4,6,880,0.0,1945,0.0,98178,47.5009,-122.24799999999999,1190,6780,2.0,0.0,8.43,0.760667485,0.367579209
1/8/2015,171800.0,4,2.0,1570,9600,1.0,0.0,0.0,3,6,1570,0.0,1950,0.0,98168,47.4965,-122.303,1880,9000,2.0,0.0,8.07,2.552239804,0.383187849
5/11/2015,535000.0,4,1.0,1610,2982,1.5,0.0,0.0,4,7,1610,0.0,1925,0.0,98144,47.586999999999996,-122.294,1610,4040,4.0,0.0,2.16,0.341321827,0.15377588
1/2/2015,660000.0,3,2.5,2400,6474,1.0,0.0,2.0,3,8,1560,840.0,1964,0.0,98177,47.7728,-122.38600000000001,2340,10856,1.2,1.0,7.44,0.375550284,0.34581465100000003
11/19/2014,391500.0,3,2.0,1450,9132,1.0,0.0,0.0,3,7,1450,0.0,1987,0.0,98034,47.7288,-122.226,1580,9104,1.5,0.0,7.8,1.725525032,0.275708061
4/6/2015,395000.0,2,1.0,770,6000,1.0,0.0,0.0,3,6,770,0.0,1953,0.0,98117,47.6999,-122.36399999999999,1710,6000,2.0,0.0,2.42,0.97864986,0.167448753
11/4/2014,445000.0,4,1.75,2100,4400,1.5,0.0,0.0,5,7,1720,380.0,1924,0.0,98118,47.5299,-122.266,1850,4400,2.2857142857142856,1.0,6.26,0.127109511,0.291630104
7/17/2014,445000.0,3,2.25,2100,8201,1.0,0.0,2.0,3,8,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712,1.3333333333333333,1.0,8.0,0.166597142,0.35682485700000005
7/17/2014,260000.0,4,2.25,2160,8811,1.0,0.0,0.0,3,8,1360,800.0,1978,0.0,98023,47.3129,-122.39,2090,8400,1.7777777777777777,1.0,20.74,0.93950586,0.508931224
6/13/2014,822500.0,5,3.5,2320,4960,2.0,0.0,0.0,5,7,1720,600.0,1926,0.0,98103,47.6763,-122.352,1700,4960,1.4285714285714286,1.0,1.24,0.267508696,0.106581549
4/6/2015,430000.0,4,2.5,2070,4310,2.0,0.0,0.0,3,7,2070,0.0,2004,0.0,98065,47.5319,-121.85,1970,3748,1.6,0.0,22.68,9.863053322999999,0.418648795
1/5/2015,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,4,7,1060,0.0,1986,0.0,98092,47.2761,-122.152,1420,7680,1.7142857142857142,0.0,24.56,9.536807564,0.503535928
4/28/2015,660500.0,4,2.25,2010,9603,1.0,0.0,0.0,3,8,1440,570.0,1986,0.0,98027,47.5343,-122.054,2060,9793,1.7777777777777777,1.0,13.58,1.718839871,0.415300639
5/12/2014,453246.0,3,2.5,2010,2287,2.0,0.0,0.0,3,8,1390,620.0,2014,0.0,98029,47.5517,-121.99799999999999,1690,1662,1.2,1.0,15.64,2.817319972,0.415300639
1/26/2015,675000.0,4,3.5,2140,2278,3.0,0.0,0.0,3,9,2140,0.0,2005,0.0,98107,47.6734,-122.38,1540,2285,1.1428571428571428,0.0,0.64,0.633956572,0.142523603
8/5/2014,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,3,7,1010,1010.0,1968,0.0,98003,47.3309,-122.29899999999999,1750,8140,2.2857142857142856,1.0,19.49,1.714591266,0.501579779
7/7/2014,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,3,6,1190,0.0,1981,0.0,98125,47.7135,-122.287,1060,5715,2.0,0.0,5.19,0.549724575,0.16306436800000002
5/7/2014,519950.0,3,2.25,1170,1249,3.0,0.0,0.0,3,8,1170,0.0,2014,0.0,98107,47.6722,-122.381,1350,1310,1.3333333333333333,0.0,0.59,0.541417291,0.142478577
6/27/2014,665000.0,2,1.0,1110,3200,1.0,0.0,0.0,3,7,1110,0.0,1925,0.0,98119,47.6338,-122.35799999999999,1170,3600,2.0,0.0,0.8,0.886224115,0.12020255
7/8/2014,527700.0,5,2.5,2820,9375,1.0,0.0,0.0,4,8,1550,1270.0,1968,0.0,98006,47.5707,-122.12799999999999,2820,9375,2.0,1.0,9.44,0.88117346,0.240961112
5/8/2015,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,4,7,1010,600.0,1962,0.0,98058,47.4563,-122.171,1610,8579,3.0,1.0,12.87,3.657060314,0.437399093
4/15/2015,420000.0,3,1.0,1060,8097,1.0,0.0,0.0,4,7,940,120.0,1923,0.0,98133,47.7144,-122.351,1560,7940,3.0,1.0,3.54,1.176363771,0.179879354
2/27/2015,500000.0,4,2.25,2030,8517,1.0,0.0,0.0,4,8,1380,650.0,1961,0.0,98006,47.5495,-122.17399999999999,2230,8824,1.7777777777777777,1.0,8.11,1.085761897,0.393844328
6/25/2014,890000.0,4,1.0,2550,4000,2.0,0.0,0.0,3,8,2370,180.0,1905,0.0,98109,47.6354,-122.353,2200,4000,4.0,1.0,1.03,0.751174676,0.109858953
11/4/2014,511000.0,3,1.0,1430,3455,1.0,0.0,0.0,3,7,980,450.0,1947,0.0,98103,47.6873,-122.336,1450,4599,3.0,1.0,2.3,0.178349825,0.104446241
8/20/2014,532170.0,3,2.0,1360,3090,2.0,0.0,0.0,3,8,1360,0.0,1990,0.0,98103,47.6838,-122.353,1500,3090,1.5,0.0,1.58,0.459995773,0.12562119900000002
4/9/2015,560000.0,3,1.0,1110,5000,1.5,0.0,0.0,3,7,1110,0.0,1947,0.0,98107,47.655,-122.359,1420,5000,3.0,0.0,0.79,0.148643005,0.085467355
3/31/2015,282950.0,3,1.0,1250,8200,1.0,0.0,0.0,4,7,1250,0.0,1954,0.0,98003,47.3255,-122.304,1680,8633,3.0,0.0,19.86,1.835137657,0.501579779
5/16/2014,350000.0,1,1.0,700,5100,1.0,0.0,0.0,3,7,700,0.0,1942,0.0,98115,47.678999999999995,-122.3,1010,5100,1.0,0.0,2.92,1.618832454,0.07049449
7/28/2014,215000.0,3,1.0,1180,7669,1.0,0.0,0.0,4,7,1180,0.0,1967,0.0,98058,47.4479,-122.176,1190,7669,3.0,0.0,13.24,4.111570696,0.437399093
8/7/2014,320000.0,4,2.75,2640,7500,1.0,0.0,0.0,3,8,1620,1020.0,1967,0.0,98023,47.3135,-122.369,1980,7875,1.4545454545454546,1.0,20.62,1.038268626,0.507470721
11/13/2014,247000.0,3,2.0,1270,7198,1.5,0.0,0.0,3,7,1270,0.0,1916,2013.0,98022,47.2086,-121.99600000000001,1160,7198,1.5,0.0,31.79,24.22550173,0.503535928
5/7/2014,255000.0,5,2.25,2060,8632,1.0,0.0,0.0,3,7,1030,1030.0,1962,0.0,98146,47.4877,-122.335,1010,11680,2.2222222222222223,1.0,8.57,1.2402958590000002,0.401843275
3/9/2015,438000.0,3,1.75,1780,9660,1.0,0.0,0.0,3,7,1780,0.0,1962,0.0,98034,47.7171,-122.193,1200,9660,1.7142857142857142,0.0,8.48,1.3305789609999998,0.128667689
6/20/2014,441000.0,3,2.75,1910,7280,1.0,0.0,0.0,3,7,1160,750.0,1979,0.0,98034,47.7319,-122.22399999999999,1710,8152,1.0909090909090908,1.0,8.01,1.919598682,0.275708061
12/8/2014,370000.0,3,1.75,1580,7000,1.0,0.0,0.0,3,7,1180,400.0,1976,0.0,98034,47.7209,-122.16799999999999,1640,7500,1.7142857142857142,1.0,9.61,2.377290469,0.128667689
2/19/2015,269950.0,2,1.75,1340,7250,1.0,0.0,0.0,5,5,700,640.0,1949,0.0,98198,47.408,-122.32700000000001,1830,9750,1.1428571428571428,1.0,14.09,0.316772828,0.498346866
3/24/2015,807100.0,4,2.5,2680,4499,2.0,0.0,0.0,3,9,2680,0.0,1999,0.0,98006,47.565,-122.125,2920,4500,1.6,0.0,9.7,1.014835386,0.240961112
6/5/2014,653000.0,3,2.5,2680,9750,1.0,0.0,0.0,4,8,1610,1070.0,1979,0.0,98034,47.7028,-122.23100000000001,2480,8750,1.2,1.0,6.46,0.366025928,0.128667689
6/11/2014,371500.0,3,2.0,1370,8336,1.0,0.0,0.0,5,7,1370,0.0,1964,0.0,98133,47.7458,-122.331,1770,7288,1.5,0.0,5.89,2.202367516,0.232584581
1/2/2015,272000.0,3,1.75,2160,7140,1.0,0.0,0.0,4,7,1670,490.0,1978,0.0,98023,47.3026,-122.374,1930,7350,1.7142857142857142,1.0,21.39,1.671454431,0.507470721
5/2/2014,313000.0,3,1.5,1340,7912,1.5,0.0,0.0,3,7,1340,0.0,1955,0.0,98133,47.7658,-122.339,1480,7940,2.0,0.0,7.12,1.954889283,0.283344792
9/29/2014,673000.0,4,2.25,2590,8190,2.0,0.0,0.0,4,8,2590,0.0,1980,0.0,98006,47.5619,-122.125,2260,8335,1.7777777777777777,0.0,9.78,1.186888504,0.240961112
2/10/2015,425000.0,3,2.5,1120,1100,2.0,0.0,0.0,3,8,820,300.0,2008,0.0,98122,47.6106,-122.31,1590,1795,1.2,1.0,0.5,1.384395944,0.099807939
7/9/2014,399950.0,5,2.75,1970,5400,1.0,0.0,0.0,3,7,1320,650.0,1986,0.0,98144,47.5868,-122.30799999999999,1280,2150,1.8181818181818181,1.0,1.88,0.958100525,0.154882608
5/30/2014,385000.0,3,1.0,1220,4800,1.0,0.0,0.0,3,6,1220,0.0,1901,0.0,98122,47.6101,-122.307,1200,4800,3.0,0.0,0.65,1.253288131,0.097172163
11/17/2014,269950.0,3,1.5,1950,7560,1.0,0.0,2.0,4,7,1320,630.0,1975,0.0,98022,47.1976,-121.999,1950,8941,2.0,1.0,32.4,18.53350382,0.503535928
1/7/2015,330000.0,2,1.0,1350,8220,1.0,0.0,0.0,3,7,1060,290.0,1949,0.0,98177,47.7224,-122.35799999999999,1540,8280,2.0,1.0,4.0,0.7687761,0.208302993
7/25/2014,260000.0,3,2.5,1670,5797,2.0,0.0,0.0,3,7,1670,0.0,1988,0.0,98030,47.3505,-122.179,1670,6183,1.2,0.0,19.29,6.7865262920000005,0.503535928
4/14/2015,470000.0,4,3.0,2380,5125,1.5,0.0,0.0,4,7,1680,700.0,1925,0.0,98126,47.5384,-122.376,1410,5375,1.3333333333333333,1.0,5.26,0.941842668,0.330563861
